Input_SMILES,SMILES,Linkers,MW,LogP,HBD,HBA,PSA,RotatableBonds,SA,Permeability,hERG_Risk,CYP_Inhibition,Metabolic_Stability,PAINS_Alert,lipinski_violations,QED,Druglikeness_Score
C(CCCNC(=N)N)NC(=O)C(C)N(C)C(=O)C(Cc1ccccc1)NC(=O)CCC(=O)O,CC1C(=O)NC(CCCNC(=N)N)C2=CC=CC2OC(=O)CCC(=O)NC(c2ccccc2)C(=O)N1C,*C1=CC=CC1*,510.5950000000003,0.6406700000000016,5,6,166.71,5,,Low,Low,Low,Moderate,No,1,0.16768069743711173,125
CC(C)CC(C)C1(O)C=C2C(=C(C)C(=O)C(=O)C2C2OC(C)C(C)C(O)C2C)O1,COC(O)(C=C1C2=CC3(O)OC1=C(C)C(=O)C(=O)C2C1OC(CC=CC(=O)CC(C)CC3C)C(C)C(O)C1C)C(C)CC(C)C,*C=CC(*)=O,628.8030000000001,4.5991000000000035,3,9,139.59,5,,High,High,Low,High,Yes,1,0.2944719995431505,120
C(O)C(CC(C)Cc1c(O)c(NC(=O)C(C)=CC=CC(OC)COC(=O)N(C)N)cc(O)c1N=CCN(C)C)OC,CCC1C(=O)C(O)C(OC)CC(C)c2c(O)c(cc(O)c2N=CCN(C)C)NC(=O)C(C)=CC=CC(OC)C1OC(=O)N(C)N,*C(=O)C(*)CC,633.743,2.6068,5,12,196.48,7,,High,Low,Moderate,Moderate,Yes,2,0.07391398696240338,75
NC(CCCN=C(N)NC(=O)C1CC(NC(=O)CC(N)C=O)CN1)C(=O)O,C=CC1CC(=O)C(N)CC(=O)NC(CC2CC(NC(=O)CC(N)C(=O)O)CN2)=NCCCC(C(=O)O)N1,*CC(*)C=C,523.5910000000003,-2.3922999999999925,8,10,238.32999999999998,8,,Low,Low,Moderate,Moderate,No,2,0.1560764869083182,75
CCOC(CN(C)C(=O)CCC(F)(F)F)C(C)CN(C(=O)c1cc(NC(=O)CCC(F)(F)F)ccc1)C(C)CO,CC1CCOC(CN(C)C(=O)CCC(F)(F)F)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2N1,*NC(*)C,626.6390000000004,4.816900000000004,3,6,111.21000000000001,9,,High,High,Low,Moderate,No,1,0.3394601719742968,130
CCNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc1ccccc1)NC(=O)CCc1cnc[nH]1,CC1CCNC(=O)C(c2c[nH]c3ccccc23)NC(=O)C(CCCNC(=N)N)NC(=O)C(c2ccccc2)NC(=O)C(c2cnc[nH]2)C1Cl,*C(C)C(*)Cl,689.2210000000002,2.201070000000004,9,6,222.77,7,,Low,Low,Low,Moderate,No,2,0.06087134231134647,95
SCC(NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CCCNC(=N)N)NC(=O)CCC(C)(C)C)C(=O)O,C=CC1SCC(C(=O)O)NC(=O)C(NC(=O)CNC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)(C)C)NC(C)=O)CC(=O)OC1C,*C(C)C(*)C=C,684.8170000000001,-1.531029999999996,9,10,271.0,14,,Low,Low,Moderate,Moderate,No,2,0.033156300840377004,55
NC(Cc1ccc(O)cc1)C(=O)N(C)C(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)NCCc1ccc2ccccc2c1,C=C1CC(c2ccc3ccccc3c2)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)N(C)C(=O)C(c2ccc(O)cc2)N1,*CC(*)=C,670.8190000000004,1.3700000000000054,8,7,239.57,10,,Low,Low,Low,Moderate,No,2,0.08814308695945441,85
C(O)C(CC(C)=Cc1c(O)c(NC(=O)C(C)=CC=CC(OC)COC(N)=O)cc(O)c1NC(=O)c1ccc(CN2CCc3ccccc3C2)cc1)OC,COC1CC(C)=Cc2c(NC(=O)c3ccc(CN4CCc5ccccc54)cc3)cc(O)c(c2O)C(C)CC(OC)C(O)C=C=CC1O,*C=C=C*,640.7770000000004,5.67650000000001,5,8,131.72,6,,High,High,Low,High,No,2,0.21779960861426265,120
CC(=O)NC(Cc1cc2ccccc2[nH]1)C(=O)NC(C)C(=O)N1Cc2ccccc2CC1C(=O)N1C(C(=O)NCCCCNC(=N)N)CC2CCCCC21,CC1NC(=O)C(c2cc3ccccc3[nH]2)NC(=O)CCC(O)C(CCCNC(=N)N)NC(=O)C2CC3CCCCC3N2C1=O,*CC(*)O,608.7440000000001,0.8923700000000043,8,6,205.53000000000003,5,,Low,Low,Low,Moderate,No,2,0.1396583015131371,95
C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N1CCCC1C(=O)NC(C(N)=O)C(C)C,C=C1CC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)N2CCCC2C(=O)NC(C(N)=O)C(C)C)c2c[nH]c3ccccc23)CC(=O)O1,*CC(*)=C,966.0699999999996,-0.6491299999999982,12,11,357.78,16,,Low,Low,Moderate,Moderate,No,3,0.02886695937205154,35
C=CC(OC)C(OC(N)=O)C(C)=CC(C)C(O)C(CC(C)Cc1c(O)c(N)cc(O)c1[NH2+]CC(O)CO)OC,CCC1C[C@H]2C[C@@H]2CC=CC(OC)C(OC(N)=O)C(C)=CC(C)C(O)C(OC)CC(C)c2c(O)cc(c(O)c2[NH2+]CC(O)CO)N1,*C[C@H]1C[C@@H]1CC(*)CC,650.8340000000002,2.7533000000000007,8,10,200.56999999999996,8,,High,Low,Moderate,Moderate,No,2,0.08953441873737597,95
NC(=O)CCC(=O)NC(Cc1cnc[nH]1)C(=O)NC(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(N)=O,CC1NC(=O)C(c2cnc[nH]2)NC(=O)C(CC(N)=O)C(C)CC(C(N)=O)NC(=O)C(c2c[nH]c3ccccc23)NC(=O)C(CCCNC(=N)N)NC1=O,*CC(*)C,735.8069999999999,-2.339929999999998,12,9,338.04999999999995,9,,Low,Low,Low,Moderate,No,2,0.06310548625696417,75
C=CC(OC)C(OC(=O)NCC(N)=O)C(C)=CC(C)C(O)C(CC(C)Cc1c(O)c(N)cc(O)c1N=CCN(C)C)OC,COC1C=CC2CC2Nc2cc(O)c(N=CCN(C)C)c(c2O)C(C)CC(OC)C(O)C(C)C=C(C)C1OC(=O)NCC(N)=O,*C1CC1*,631.7710000000002,2.7789,6,11,188.20000000000002,8,,High,Low,Moderate,Moderate,Yes,3,0.10775912587771205,55
CC(=O)NC(Cc1ccc2ccccc2c1)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C=O,N=C(N)NCCCC1NC(=O)C(c2ccc3ccccc3c2)NC(=O)CC2CC[C@H](CC(=O)C(c3c[nH]c4ccccc34)NC1=O)O2,*C[C@H]1CCC(*)O1,637.7410000000003,2.9944700000000006,7,6,191.28999999999996,6,,High,Low,Low,Moderate,No,2,0.09600163869735708,105
C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCCN)C(=O)NC(C=O)c1ccccc1,NCCCCC1NC(=O)C(CCCN=C(N)N)NC(=O)C2OC2C(=O)C(c2ccccc2)NC1=O,*C1OC1*,487.56100000000015,-1.653799999999992,6,7,207.31999999999996,9,,Low,Low,Low,Moderate,No,1,0.10258738649574523,85
CCC=CCC(C)OC(=O)c1c(O)cc(O)c(Cl)c1,CC1CC=CCCC=CCC=Cc2c(Cl)c(O)cc(O)c2C(=O)O1,*C=CCC=C*,348.8260000000001,4.996100000000005,2,4,66.76,0,,High,High,Low,High,No,0,0.511340111361134,180
C(C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)O,CCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC1CC(=O)OC(C)COC(=O)CNC1=O,*CC(*)C,499.5250000000003,-3.2597299999999914,7,9,230.89999999999995,10,,Low,Low,Low,Moderate,No,1,0.06859261995000396,75
C(OC(N)=O)C(C=CC=C(C)C(=O)Nc1cc(O)c(N=CCF)c(CC(C)CC(OC)COC)c1O)OC,COC1C=CC=C(C)C(=O)Nc2cc(O)c(cc2O)C(C)CC(OC)C(OC)CCNC1OC(N)=O,*CCN*,507.58400000000034,2.4920999999999998,5,9,161.60000000000002,4,,Low,Low,Low,Moderate,No,1,0.3044216738705288,125
CCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc1ccc2ccccc2c1)NC=O)C(N)=O,CC1CCCC(=O)NC(c2ccc3ccccc3c2)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(C(N)=O)CC1,*CCCC(*)C,723.879,2.524270000000005,9,6,237.18,8,,High,Low,Low,Moderate,No,2,0.07475258824733302,105
Oc1ccc(NC(=O)Nc2c(C)noc2C)cc1C(=O)N(CC(C)C(CN(C)C(=O)Nc1c(C)noc1C)O)C(C)CO,Cc1noc(C)c1C(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)C(=O)c1c(C)noc1C)OCCCCO2,*CCCC*,625.7230000000001,3.937680000000003,2,10,160.46999999999997,7,,High,High,Moderate,Moderate,No,1,0.39362845636858623,100
C=C(C)C(=O)Nc1cc(O)c(OC)c(C=C(C)CC(OC)C(OC(=O)CCN)C(C)C=C(C)COC(N)=O)c1O,CCC(=O)C(C)=CC1=CC(=C(C)CC(OC)C2OC(=O)CCNC(C)CC=C(C)C(=O)Nc3cc(O)c(OC)c(c3O)C(C)CC(OC)C(OC(=O)CCN)C(C)C=C2C)C(O)=C1OC,*CC(*)C,910.1149999999999,7.029500000000007,6,15,234.42999999999995,13,,High,High,Moderate,Moderate,No,4,0.03833780183746111,30
NC(CCCNC(=N)N)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NCC(N)=O)C(C)O,C#CC1CNC(CCCNC(=N)N)C(=O)NC(CCSC)C(=O)NC(C(=O)NC(C(=O)NC(CC(C)C)C(=O)NCC(N)=O)C(C)O)CC(=O)O1,*CC(*)C#C,740.885,-4.122730000000004,11,12,309.05,17,,Low,Low,Moderate,Moderate,No,3,0.022237246496746427,35
CCN(CC(N)=O)C(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCCN=C(N)N)NC(=O)CN(Cc1ccccc1)C(=O)CCc1ccccc1,NC(=O)CN1CCCCCNC(N)=NCCCC(NC(=O)CN(C(=O)Cc2ccccc2)c2ccccc2)C(=O)NC(c2c[nH]c3ccccc23)C1=O,*CCC*,721.8630000000002,2.2682000000000064,6,8,208.10999999999999,9,,Low,Low,Low,Moderate,No,2,0.15185069821511119,95
C=CCCOC(=O)c1c(O)cc(O)c(Cl)c1,C[C@@H]1CC=CCCOC(=O)c2c(O)cc(O)c(Cl)c2C(=O)N1,*C[C@@H](C)NC(*)=O,325.74800000000005,2.3763,3,5,95.86000000000001,0,,Low,Low,Low,High,No,0,0.5025133026680726,185
CC(NC(=O)C1C2C(CN1C(=O)C(C)NC(=O)OC(C)(C)C)C2(C)C)C(=O)C(N)=O,CC(C)(C)OC(=O)NC1CCCCCC(C(=O)C(N)=O)NC(=O)C2C3C(CN2C1=O)C3(C)C,*CCC*,464.56300000000016,0.8660000000000034,3,6,147.9,3,,Low,Low,Low,Moderate,No,0,0.5279023899310279,155
CCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCCN=C(N)N)NC(=O)C(Cc1ccccc1)NC(=O)C1CCCN1)C(N)=O,C=C1CCCC(C(N)=O)NC(=O)C(c2c[nH]c3ccccc23)NC(=O)C(CCCN=C(N)N)NC(=O)C(c2ccccc2)NC(=O)C2CCCN12,*C(*)=C,698.8290000000001,0.8532000000000053,8,7,242.92000000000002,7,,Low,Low,Low,Moderate,No,2,0.09968697142632443,95
C(O)C(CC(C)=Cc1c(O)c(NC(=O)C(C)=CC=CC(OC)COC(N)=O)cc(O)c1NC(=O)OCC)OC,CCOC(=O)Nc1cc(O)c2c(O)c1C=C(C)CC(OC)C(O)C1CC1C(O)C(OC)CC2C,*C1CC1*,479.5700000000002,3.354700000000001,5,8,137.71,4,,High,High,Low,High,No,0,0.4432829402019621,150
NC(=O)C(CC(=O)O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CCCCN)NC(=O)CCCCN=C(N)N,NCCCCC(NC(=O)CCCCN=C(N)N)C(=O)NC(C(=O)NC1CC(=O)OC2C[C@@H]2CSCNC1=O)c1ccc(O)cc1,*CSC[C@H]1CC1*,648.7870000000001,-0.7658999999999916,8,10,253.34999999999994,15,,Low,Low,Moderate,Moderate,No,2,0.050730228708042044,55
CC(N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NCC(N)=O)C(C)O,C=C1CNC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(=O)NCC(N)=O)C(C)O)CC(=O)OC1,*CC(=C)C*,795.9399999999999,-3.7706300000000104,12,12,338.15000000000003,18,,Low,Low,Moderate,Moderate,No,3,0.020874966797236553,35
C(=O)C(CCCNC(=N)N)N(C)C(=O)C1CCCN1C(=O)C(CSSC(C)(C)C(NC(=O)CCC(=O)O)C(N)=O)NC(C)=O,CC(=O)NC1CSSC(C)(C)C(=O)NC(CCCNC(=N)N)C(=O)C2(CC2)C(=O)C(CCCNC(=N)N)N(C)C(=O)C2CCCN2C1=O,*C1(*)CC1,710.928,-0.5875599999999923,8,10,256.76000000000005,9,,Low,Low,Moderate,Moderate,No,2,0.04914643479791668,65
C=C(CC)C(=O)CC=C(C)C(OC(=O)C1CCCCN1C(=O)C(=O)C1(O)OC(COC)C(OC)CC1C)C(C)=CC1CCC(O)C(OC)C1,CCC1=CCNC(=O)C(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)=CCC1=O)C(C)CC2OC,*CNC(*)=O,746.8950000000001,2.4860000000000024,3,12,187.22999999999996,6,,Low,Low,Moderate,Moderate,No,2,0.20520944693106913,85
CCCCC(=O)Cc1c(Br)c(O)c(Br)c(O)c1C(=O)OC,O=C1OCC=NCCCCCCC(=O)C2C(O)=C(Br)C(O)=C12,*C=NCC*,372.215,2.74,2,6,96.19,0,,High,Low,Low,High,No,0,0.6377402291798469,215
C=C(C)C(=O)Nc1cc(O)c(N2CCC2)c(C=C(C)CC(OC)C(O)C(C)C=C(C)COC(=O)NO)c1O,COC1CC(C)c2c(O)cc(c(O)c2N2CCC2)NC(=O)C(C)=CC2=CCC=C2C(OC(=O)NO)C(C)=CC(C)C1O,*C1=CCC=C1*,583.6820000000002,4.398700000000004,6,9,160.82,3,,High,High,Low,Moderate,No,2,0.09962865219272135,100
CCCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCCNC(=N)N)NC(=O)C(C)NC(=O)C(Cc1cnc[nH]1)NC(=O)C)C(N)=O,CCCCC(NC(=O)C(NC(=O)C1CC2CC2CC(=O)NC(CCCNC(=N)N)C(=O)NC(c2c[nH]c3ccccc23)C(=O)N1)c1cnc[nH]1)C(N)=O,*C1CC1*,732.847,-0.27112999999999265,11,8,294.96,14,,Low,Low,Low,Moderate,No,2,0.058985732196553155,65
C(=O)Nc1cc(O)c(NC(=O)OCc2ccc(OC(C)=O)cc2)c(C=C(C)CC(OC)C(O)C(C)C=C(C)COC(N)=O)c1O,COC1CCc2c(O)cc(NC(=O)Oc3ccc(OC(C)=O)cc3)c(O)c2C=C(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(O)CC(OC(N)=O)C(C)=CC(C)C1O,*CC(*)O,857.9510000000001,4.969000000000004,8,15,288.88,7,,Low,High,Moderate,Moderate,No,3,0.05998349375979982,50
CCCC(=O)NC(Cc1ccccc1)C(=O)N1CC(OC)CC1C(=O)NC(CCCNC(=N)N)C(=O)C(=O)N,COC1CC2C(=O)NC(CCCNC(=N)N)C(=O)C(=O)NC(=O)C=CCCCC(=O)NC(c3ccccc3)C(=O)N2C1,*C=CC(*)=O,583.6460000000002,-0.8401299999999923,6,8,212.88,6,,Low,Low,Low,Moderate,No,2,0.0808586831208616,85
CCc1cc(OC)cc(O)c1C(=O)OC(C)CCCC=O,COc1cc(O)c2c(c1)CCC(=O)CCC(=O)CCCC(C)OC2=O,*CCC(*)=O,348.3950000000001,2.9810000000000016,1,6,89.9,1,,High,Low,Low,High,No,0,0.784847386533501,215
CC(C)CC(C)C(=O)C(O)C1=C(C2OC(C)C(C)C(O)C2C)C(=O)C(=O)C(C)C1=O,CC1CC(C)C(=O)C(O)C2=C(C(=O)C(O)C2=O)C2OC(CCC=CN(C)C1)C(C)C(O)C2C,*CC=CN(*)C,463.57100000000025,1.0278000000000005,3,8,124.36999999999999,0,,Low,Low,Low,High,No,0,0.4551857453146433,155
CCCC(=O)Cc1c(Cl)c(O)cc(O)c1C(=O)OCC,CC1CCCCCCC(=O)c2c(Cl)c(O)cc(O)c2C(=O)O1,*CCC*,326.77600000000007,3.8334000000000032,2,5,83.83,0,,High,High,Low,High,No,0,0.7076857811987838,200
c1cc(O)c(N=CCN(C)C)c(CC(C)CC(OC)C(NCC(F)F)C(C)C=C(C)C(OC(N)=O)COC)c1O,COC(CC(C)c1c(O)ccc(O)c1N=CCN(C)C)C1NCC(F)(F)C2CC2C(OC)C(OC(N)=O)C(C)=CC1C,*C1CC1*,596.7160000000001,4.174800000000003,4,9,138.87,10,,High,High,Low,Moderate,Yes,1,0.17936688298649905,110
CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCCN=C(N)N)NC(=O)C(Cc1ccc2ccccc2c1)NC(=O)c1cccc(C(=O)N)n1)C(N)=O,C=C1CCCC(C(N)=O)NC(=O)C(Cc2ccc3ccccc3c2)NC(=O)C(CCCN=C(N)N)NC(=O)C(c2ccc3ccccc3c2)NC(=O)c2cccc(n2)C(=O)NN1,*CCC(=C)N*,839.9580000000001,2.0271000000000052,9,9,277.9099999999999,8,,Low,Low,Moderate,Moderate,No,2,0.062305391710136764,85
CCCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc1ccc2ccccc2c1)NC=O)C(N)=O,CC1CCCCC(C(N)=O)NC(=O)C(c2ccc3ccccc3c2)NC(=O)C(CCCNC(=N)N)NC(=O)C(c2ccc3ccccc3c2)NC(=O)C(=O)C1,*C(=O)CC(*)C,748.8850000000001,2.8952700000000053,8,7,238.45999999999998,7,,High,Low,Low,Moderate,No,2,0.06038873924997014,105
NCCCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc1ccccc1)N)C(N)=O,CC(O)=CC1CNC(c2ccccc2)C(=O)NC(c2c[nH]c3ccccc23)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(N)=O)CCCCN1,*CC(*)C=C(C)O,688.8339999999998,0.9781700000000044,11,8,252.37,8,,Low,Low,Low,Moderate,No,2,0.06972612786676353,95
CNC(=O)c1cccc(C(=O)NC(Cc2ccccc2)C(=O)NC(CCCN=C(N)N)C(=O)NCCc2c[nH]c3ccccc23)n1,N#CC1C(c2c[nH]c3ccccc23)NC(=O)C(CCCN=C(N)N)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(c2ccccc2)NC(=O)c2cccc(n2)C(=O)NCC[C@@H]1O,*C[C@H](O)C(*)C#N,864.9680000000001,2.2728800000000056,10,9,298.39,8,,Low,Low,Moderate,Moderate,No,2,0.060494700306432427,85
Nc1cc(O)c(N=CCN(C)C)c(CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(=O)N(C)N)COC)c1O,CC[C@@H]1C[C@H]2CC(OC)C(OC(=O)N(C)N)C(C)=CC(C)C(O)C(OC)CC(C)c3c(O)c(cc(O)c3N=CCN(C)C)NO[C@H]3[C@H]2N1O[C@H]3C#N,*C[C@@H]1C[C@@H](CC)N2O[C@@H](C#N)[C@@H](O*)[C@H]12,731.8919999999999,3.561580000000003,5,15,207.82999999999998,7,,High,High,Moderate,Moderate,Yes,2,0.05172174313886168,60
NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(CSS)C(N)=O)C(C)O,C#CC1C2NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(C(C)O)C(=O)NC(C(N)=O)CSSC12,*C1C(*)C1C#C,770.9360000000003,-3.5661299999999994,12,12,320.0499999999999,10,,Low,Low,Moderate,Moderate,No,3,0.033651247078979374,35
CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(C)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1cnc[nH]1)NC(=O)CCC(=O)N)C(N)=O,C=C1CC(C(N)=O)NC(=O)C(c2c[nH]c3ccccc23)NC(=O)C(C)NC(=O)C(c2ccccc2)NC(=O)C(c2ccccc2)NC(=O)C(c2cnc[nH]2)NC(=O)C1CC(N)=O,*C(*)=C,843.9019999999999,0.5471000000000059,10,9,305.24999999999994,7,,Low,Low,Moderate,Moderate,No,2,0.1022186665927684,85
Nc1cc(O)c(OC)c(C=C(C)CC(OC)C(OC(=O)CCCN)C(C)C=C(C)C(OC(N)=O)COC)c1O,COc1c(O)cc(N)c(O)c1C(C)CC(OC)C1OC(=O)CCCNC2CC(OC2=O)C(OC)C(OC(N)=O)C(C)=CC1C,*C1CC(*)C(=O)O1,623.7000000000002,2.237800000000001,5,13,211.11999999999998,8,,Low,Low,Moderate,Moderate,No,2,0.07030154129965092,85
CCC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCN=C(N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N(CC)CC(N)=O,NC(=O)CN1CCCCCCCC(=O)NC(c2ccccc2)C(=O)NC(c2ccccc2)C(=O)NC(CCCN=C(N)N)C(=O)NC(c2c[nH]c3ccccc23)C1=O,*CCC*,792.9419999999997,2.246700000000004,8,7,259.99,9,,Low,Low,Low,Moderate,No,2,0.07066845086195943,95
CCNC(Cc1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCCN)C(=O)NC(C(=O)NC)C(C)Oc1ccccc1,CCNC(c1ccccc1)C(NC(=O)C1CCCCNC(=O)NCCCNC(c2ccccc2)C(=O)NC(c2c[nH]c3ccccc23)C(=O)N1)C(=O)NC,*CNC(*)=O,737.9060000000001,2.5957000000000043,9,7,197.37999999999997,9,,High,Low,Low,Moderate,No,2,0.12587675456892364,105
